# EPA eGRID2023 Revision 2 PLNT23 extract. 17 USC 105.
# Official plant population, all 27 eGRID subregions.
# Columns: orispl, subregion, net_gen_mwh (PLNGENAN), co2_tons (PLCO2AN).
# Blank PLCO2AN stored as 0 so zero-carbon plants stay in the denominator.
# Negative PLNGENAN kept (Rev 2 correction). Plants with blank PLNGENAN omitted.
# Source: egrid2023_data_rev2.xlsx PLNT23, released 2025-06-12.
orispl,subregion,net_gen_mwh,co2_tons
10884,CAMX,14479.72,4530.527
50003,CAMX,43797,18869.996
50037,CAMX,30692,0
50049,CAMX,119959,1591.866
50061,CAMX,58084,21055.069
50064,CAMX,35913,12108.425
50066,CAMX,472942,20998.598
50089,CAMX,0,0
50110,CAMX,94493,0
50112,CAMX,171460,0
50115,CAMX,318746,100804.973
50119,CAMX,368757.999,116501.986
50129,CAMX,5909.001,0
50134,CAMX,574366,200964.384
50147,CAMX,0,0
50148,CAMX,0,0
50156,CAMX,5562,0
50170,CAMX,24008,7759.488
50180,CAMX,18448,0
50200,CAMX,27194.02,8739.284
50216,CAMX,2329966,763702.529
50218,CAMX,-17,0
50219,CAMX,2500,0
50223,CAMX,2582,0
50224,CAMX,5832.999,337.906
50233,CAMX,2938,0
50234,CAMX,10742.001,7004.236
50281,CAMX,61820,0
50293,CAMX,74443,810.434
50299,CAMX,3090,1906.753
50300,CAMX,-3784,0
50322,CAMX,6277,0
50350,CAMX,41945,0
50352,CAMX,18601,0
50375,CAMX,4028,0
50388,CAMX,3369,0
50393,CAMX,106187,0
50400,CAMX,124283,0
50464,CAMX,484219,184355.251
50492,CAMX,27927,0
50493,CAMX,22926,14195.942
50494,CAMX,21964,13697.468
50495,CAMX,23323,12391.022
50530,CAMX,334633.042,110765.841
50532,CAMX,25321,0
50533,CAMX,177258,0
50536,CAMX,201643,0
50537,CAMX,27275,9460.856
50540,CAMX,0,0
50541,CAMX,25557,18637.851
50546,CAMX,15325,0
50552,CAMX,6651,0
50553,CAMX,10787,0
50560,CAMX,132757,0.043
50571,CAMX,39367,0.001
50610,CAMX,0,0
50612,CAMX,36889,16064.856
50622,CAMX,124671,40030.672
50624,CAMX,80623,25445.654
50632,CAMX,93226,135103.586
50674,CAMX,5651,3319.182
50690,CAMX,112404,0
50696,CAMX,39273,4764.901
50748,CAMX,35748,21509.223
50750,CAMX,44357,13846.442
50751,CAMX,90850,29012.034
50752,CAMX,427380,145132.265
50754,CAMX,37803.999,0
50755,CAMX,10821,0
50820,CAMX,4704,0
50821,CAMX,53936,0
50831,CAMX,0,0
50837,CAMX,120708,83842.347
50849,CAMX,168185,55803.482
50850,CAMX,10654,4066.75
50851,CAMX,482,189.89
50865,CAMX,203562,80037
